sector_perm_tuple,A,t,a_m,b_m,weighted_entropy,sector_with_6_missing,completion_m_for_sector6,counts_sector6,counts_all_sectors,entropy_all_sectors
"(1, 3, 0, 2)","((0, 1), (1, 0))","(1, 0)",1,0,0.5999999999999998,1,2,"{""2"": 6}","{""0"": {""0"": 1, ""2"": 1, ""1"": 1}, ""1"": {""2"": 6}, ""2"": {""1"": 1, ""2"": 1, ""0"": 1}, ""3"": {""2"": 1, ""1"": 1, ""0"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(1, 3, 0, 2)","((0, 1), (1, 0))","(1, 0)",1,1,0.5999999999999998,1,0,"{""0"": 6}","{""0"": {""1"": 1, ""0"": 1, ""2"": 1}, ""1"": {""0"": 6}, ""2"": {""2"": 1, ""0"": 1, ""1"": 1}, ""3"": {""0"": 1, ""2"": 1, ""1"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(1, 3, 0, 2)","((0, 1), (1, 0))","(1, 0)",1,2,0.5999999999999998,1,1,"{""1"": 6}","{""0"": {""2"": 1, ""1"": 1, ""0"": 1}, ""1"": {""1"": 6}, ""2"": {""0"": 1, ""1"": 1, ""2"": 1}, ""3"": {""1"": 1, ""0"": 1, ""2"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(1, 3, 0, 2)","((0, 1), (1, 0))","(1, 0)",2,0,0.5999999999999998,1,1,"{""1"": 6}","{""0"": {""0"": 1, ""1"": 1, ""2"": 1}, ""1"": {""1"": 6}, ""2"": {""2"": 1, ""1"": 1, ""0"": 1}, ""3"": {""1"": 1, ""2"": 1, ""0"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(1, 3, 0, 2)","((0, 1), (1, 0))","(1, 0)",2,1,0.5999999999999998,1,2,"{""2"": 6}","{""0"": {""1"": 1, ""2"": 1, ""0"": 1}, ""1"": {""2"": 6}, ""2"": {""0"": 1, ""2"": 1, ""1"": 1}, ""3"": {""2"": 1, ""0"": 1, ""1"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(1, 3, 0, 2)","((0, 1), (1, 0))","(1, 0)",2,2,0.5999999999999998,1,0,"{""0"": 6}","{""0"": {""2"": 1, ""0"": 1, ""1"": 1}, ""1"": {""0"": 6}, ""2"": {""1"": 1, ""0"": 1, ""2"": 1}, ""3"": {""0"": 1, ""1"": 1, ""2"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(3, 1, 2, 0)","((0, 1), (1, 0))","(1, 1)",1,0,0.5999999999999998,3,2,"{""2"": 6}","{""0"": {""1"": 1, ""2"": 1, ""0"": 1}, ""1"": {""2"": 1, ""1"": 1, ""0"": 1}, ""2"": {""0"": 1, ""2"": 1, ""1"": 1}, ""3"": {""2"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(3, 1, 2, 0)","((0, 1), (1, 0))","(1, 1)",1,1,0.5999999999999998,3,0,"{""0"": 6}","{""0"": {""2"": 1, ""0"": 1, ""1"": 1}, ""1"": {""0"": 1, ""2"": 1, ""1"": 1}, ""2"": {""1"": 1, ""0"": 1, ""2"": 1}, ""3"": {""0"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(3, 1, 2, 0)","((0, 1), (1, 0))","(1, 1)",1,2,0.5999999999999998,3,1,"{""1"": 6}","{""0"": {""0"": 1, ""1"": 1, ""2"": 1}, ""1"": {""1"": 1, ""0"": 1, ""2"": 1}, ""2"": {""2"": 1, ""1"": 1, ""0"": 1}, ""3"": {""1"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(3, 1, 2, 0)","((0, 1), (1, 0))","(1, 1)",2,0,0.5999999999999998,3,1,"{""1"": 6}","{""0"": {""2"": 1, ""1"": 1, ""0"": 1}, ""1"": {""1"": 1, ""2"": 1, ""0"": 1}, ""2"": {""0"": 1, ""1"": 1, ""2"": 1}, ""3"": {""1"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(3, 1, 2, 0)","((0, 1), (1, 0))","(1, 1)",2,1,0.5999999999999998,3,2,"{""2"": 6}","{""0"": {""0"": 1, ""2"": 1, ""1"": 1}, ""1"": {""2"": 1, ""0"": 1, ""1"": 1}, ""2"": {""1"": 1, ""2"": 1, ""0"": 1}, ""3"": {""2"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(3, 1, 2, 0)","((0, 1), (1, 0))","(1, 1)",2,2,0.5999999999999998,3,0,"{""0"": 6}","{""0"": {""1"": 1, ""0"": 1, ""2"": 1}, ""1"": {""0"": 1, ""1"": 1, ""2"": 1}, ""2"": {""2"": 1, ""0"": 1, ""1"": 1}, ""3"": {""0"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(0, 2, 3, 1)","((0, 1), (1, 1))","(0, 0)",1,0,0.5999999999999998,0,2,"{""2"": 6}","{""0"": {""2"": 6}, ""1"": {""1"": 1, ""2"": 1, ""0"": 1}, ""2"": {""2"": 1, ""1"": 1, ""0"": 1}, ""3"": {""0"": 1, ""2"": 1, ""1"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(0, 2, 3, 1)","((0, 1), (1, 1))","(0, 0)",1,1,0.5999999999999998,0,0,"{""0"": 6}","{""0"": {""0"": 6}, ""1"": {""2"": 1, ""0"": 1, ""1"": 1}, ""2"": {""0"": 1, ""2"": 1, ""1"": 1}, ""3"": {""1"": 1, ""0"": 1, ""2"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(0, 2, 3, 1)","((0, 1), (1, 1))","(0, 0)",1,2,0.5999999999999998,0,1,"{""1"": 6}","{""0"": {""1"": 6}, ""1"": {""0"": 1, ""1"": 1, ""2"": 1}, ""2"": {""1"": 1, ""0"": 1, ""2"": 1}, ""3"": {""2"": 1, ""1"": 1, ""0"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(0, 2, 3, 1)","((0, 1), (1, 1))","(0, 0)",2,0,0.5999999999999998,0,1,"{""1"": 6}","{""0"": {""1"": 6}, ""1"": {""2"": 1, ""1"": 1, ""0"": 1}, ""2"": {""1"": 1, ""2"": 1, ""0"": 1}, ""3"": {""0"": 1, ""1"": 1, ""2"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(0, 2, 3, 1)","((0, 1), (1, 1))","(0, 0)",2,1,0.5999999999999998,0,2,"{""2"": 6}","{""0"": {""2"": 6}, ""1"": {""0"": 1, ""2"": 1, ""1"": 1}, ""2"": {""2"": 1, ""0"": 1, ""1"": 1}, ""3"": {""1"": 1, ""2"": 1, ""0"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(0, 2, 3, 1)","((0, 1), (1, 1))","(0, 0)",2,2,0.5999999999999998,0,0,"{""0"": 6}","{""0"": {""0"": 6}, ""1"": {""1"": 1, ""0"": 1, ""2"": 1}, ""2"": {""0"": 1, ""1"": 1, ""2"": 1}, ""3"": {""2"": 1, ""0"": 1, ""1"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(2, 0, 1, 3)","((0, 1), (1, 1))","(0, 1)",1,0,0.5999999999999998,2,2,"{""2"": 6}","{""0"": {""2"": 1, ""1"": 1, ""0"": 1}, ""1"": {""0"": 1, ""2"": 1, ""1"": 1}, ""2"": {""2"": 6}, ""3"": {""1"": 1, ""2"": 1, ""0"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(2, 0, 1, 3)","((0, 1), (1, 1))","(0, 1)",1,1,0.5999999999999998,2,0,"{""0"": 6}","{""0"": {""0"": 1, ""2"": 1, ""1"": 1}, ""1"": {""1"": 1, ""0"": 1, ""2"": 1}, ""2"": {""0"": 6}, ""3"": {""2"": 1, ""0"": 1, ""1"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(2, 0, 1, 3)","((0, 1), (1, 1))","(0, 1)",1,2,0.5999999999999998,2,1,"{""1"": 6}","{""0"": {""1"": 1, ""0"": 1, ""2"": 1}, ""1"": {""2"": 1, ""1"": 1, ""0"": 1}, ""2"": {""1"": 6}, ""3"": {""0"": 1, ""1"": 1, ""2"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(2, 0, 1, 3)","((0, 1), (1, 1))","(0, 1)",2,0,0.5999999999999998,2,1,"{""1"": 6}","{""0"": {""1"": 1, ""2"": 1, ""0"": 1}, ""1"": {""0"": 1, ""1"": 1, ""2"": 1}, ""2"": {""1"": 6}, ""3"": {""2"": 1, ""1"": 1, ""0"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(2, 0, 1, 3)","((0, 1), (1, 1))","(0, 1)",2,1,0.5999999999999998,2,2,"{""2"": 6}","{""0"": {""2"": 1, ""0"": 1, ""1"": 1}, ""1"": {""1"": 1, ""2"": 1, ""0"": 1}, ""2"": {""2"": 6}, ""3"": {""0"": 1, ""2"": 1, ""1"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(2, 0, 1, 3)","((0, 1), (1, 1))","(0, 1)",2,2,0.5999999999999998,2,0,"{""0"": 6}","{""0"": {""0"": 1, ""1"": 1, ""2"": 1}, ""1"": {""2"": 1, ""0"": 1, ""1"": 1}, ""2"": {""0"": 6}, ""3"": {""1"": 1, ""0"": 1, ""2"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(1, 3, 2, 0)","((0, 1), (1, 1))","(1, 0)",1,0,0.5999999999999998,1,2,"{""2"": 6}","{""0"": {""1"": 1, ""2"": 1, ""0"": 1}, ""1"": {""2"": 6}, ""2"": {""0"": 1, ""2"": 1, ""1"": 1}, ""3"": {""2"": 1, ""1"": 1, ""0"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(1, 3, 2, 0)","((0, 1), (1, 1))","(1, 0)",1,1,0.5999999999999998,1,0,"{""0"": 6}","{""0"": {""2"": 1, ""0"": 1, ""1"": 1}, ""1"": {""0"": 6}, ""2"": {""1"": 1, ""0"": 1, ""2"": 1}, ""3"": {""0"": 1, ""2"": 1, ""1"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(1, 3, 2, 0)","((0, 1), (1, 1))","(1, 0)",1,2,0.5999999999999998,1,1,"{""1"": 6}","{""0"": {""0"": 1, ""1"": 1, ""2"": 1}, ""1"": {""1"": 6}, ""2"": {""2"": 1, ""1"": 1, ""0"": 1}, ""3"": {""1"": 1, ""0"": 1, ""2"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(1, 3, 2, 0)","((0, 1), (1, 1))","(1, 0)",2,0,0.5999999999999998,1,1,"{""1"": 6}","{""0"": {""2"": 1, ""1"": 1, ""0"": 1}, ""1"": {""1"": 6}, ""2"": {""0"": 1, ""1"": 1, ""2"": 1}, ""3"": {""1"": 1, ""2"": 1, ""0"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(1, 3, 2, 0)","((0, 1), (1, 1))","(1, 0)",2,1,0.5999999999999998,1,2,"{""2"": 6}","{""0"": {""0"": 1, ""2"": 1, ""1"": 1}, ""1"": {""2"": 6}, ""2"": {""1"": 1, ""2"": 1, ""0"": 1}, ""3"": {""2"": 1, ""0"": 1, ""1"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(1, 3, 2, 0)","((0, 1), (1, 1))","(1, 0)",2,2,0.5999999999999998,1,0,"{""0"": 6}","{""0"": {""1"": 1, ""0"": 1, ""2"": 1}, ""1"": {""0"": 6}, ""2"": {""2"": 1, ""0"": 1, ""1"": 1}, ""3"": {""0"": 1, ""1"": 1, ""2"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(3, 1, 0, 2)","((0, 1), (1, 1))","(1, 1)",1,0,0.5999999999999998,3,2,"{""2"": 6}","{""0"": {""0"": 1, ""2"": 1, ""1"": 1}, ""1"": {""2"": 1, ""1"": 1, ""0"": 1}, ""2"": {""1"": 1, ""2"": 1, ""0"": 1}, ""3"": {""2"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(3, 1, 0, 2)","((0, 1), (1, 1))","(1, 1)",1,1,0.5999999999999998,3,0,"{""0"": 6}","{""0"": {""1"": 1, ""0"": 1, ""2"": 1}, ""1"": {""0"": 1, ""2"": 1, ""1"": 1}, ""2"": {""2"": 1, ""0"": 1, ""1"": 1}, ""3"": {""0"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(3, 1, 0, 2)","((0, 1), (1, 1))","(1, 1)",1,2,0.5999999999999998,3,1,"{""1"": 6}","{""0"": {""2"": 1, ""1"": 1, ""0"": 1}, ""1"": {""1"": 1, ""0"": 1, ""2"": 1}, ""2"": {""0"": 1, ""1"": 1, ""2"": 1}, ""3"": {""1"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(3, 1, 0, 2)","((0, 1), (1, 1))","(1, 1)",2,0,0.5999999999999998,3,1,"{""1"": 6}","{""0"": {""0"": 1, ""1"": 1, ""2"": 1}, ""1"": {""1"": 1, ""2"": 1, ""0"": 1}, ""2"": {""2"": 1, ""1"": 1, ""0"": 1}, ""3"": {""1"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(3, 1, 0, 2)","((0, 1), (1, 1))","(1, 1)",2,1,0.5999999999999998,3,2,"{""2"": 6}","{""0"": {""1"": 1, ""2"": 1, ""0"": 1}, ""1"": {""2"": 1, ""0"": 1, ""1"": 1}, ""2"": {""0"": 1, ""2"": 1, ""1"": 1}, ""3"": {""2"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(3, 1, 0, 2)","((0, 1), (1, 1))","(1, 1)",2,2,0.5999999999999998,3,0,"{""0"": 6}","{""0"": {""2"": 1, ""0"": 1, ""1"": 1}, ""1"": {""0"": 1, ""1"": 1, ""2"": 1}, ""2"": {""1"": 1, ""0"": 1, ""2"": 1}, ""3"": {""0"": 6}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.0}"
"(0, 1, 2, 3)","((1, 0), (0, 1))","(0, 0)",1,0,0.5999999999999998,0,2,"{""2"": 6}","{""0"": {""2"": 6}, ""1"": {""2"": 1, ""1"": 1, ""0"": 1}, ""2"": {""0"": 1, ""2"": 1, ""1"": 1}, ""3"": {""1"": 1, ""2"": 1, ""0"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(0, 1, 2, 3)","((1, 0), (0, 1))","(0, 0)",1,1,0.5999999999999998,0,0,"{""0"": 6}","{""0"": {""0"": 6}, ""1"": {""0"": 1, ""2"": 1, ""1"": 1}, ""2"": {""1"": 1, ""0"": 1, ""2"": 1}, ""3"": {""2"": 1, ""0"": 1, ""1"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(0, 1, 2, 3)","((1, 0), (0, 1))","(0, 0)",1,2,0.5999999999999998,0,1,"{""1"": 6}","{""0"": {""1"": 6}, ""1"": {""1"": 1, ""0"": 1, ""2"": 1}, ""2"": {""2"": 1, ""1"": 1, ""0"": 1}, ""3"": {""0"": 1, ""1"": 1, ""2"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(0, 1, 2, 3)","((1, 0), (0, 1))","(0, 0)",2,0,0.5999999999999998,0,1,"{""1"": 6}","{""0"": {""1"": 6}, ""1"": {""1"": 1, ""2"": 1, ""0"": 1}, ""2"": {""0"": 1, ""1"": 1, ""2"": 1}, ""3"": {""2"": 1, ""1"": 1, ""0"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(0, 1, 2, 3)","((1, 0), (0, 1))","(0, 0)",2,1,0.5999999999999998,0,2,"{""2"": 6}","{""0"": {""2"": 6}, ""1"": {""2"": 1, ""0"": 1, ""1"": 1}, ""2"": {""1"": 1, ""2"": 1, ""0"": 1}, ""3"": {""0"": 1, ""2"": 1, ""1"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(0, 1, 2, 3)","((1, 0), (0, 1))","(0, 0)",2,2,0.5999999999999998,0,0,"{""0"": 6}","{""0"": {""0"": 6}, ""1"": {""0"": 1, ""1"": 1, ""2"": 1}, ""2"": {""2"": 1, ""0"": 1, ""1"": 1}, ""3"": {""1"": 1, ""0"": 1, ""2"": 1}}","{""0"": 0.0, ""1"": 0.9999999999999998, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(2, 3, 0, 1)","((1, 0), (0, 1))","(0, 1)",1,0,0.5999999999999998,2,2,"{""2"": 6}","{""0"": {""0"": 1, ""2"": 1, ""1"": 1}, ""1"": {""1"": 1, ""2"": 1, ""0"": 1}, ""2"": {""2"": 6}, ""3"": {""2"": 1, ""1"": 1, ""0"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(2, 3, 0, 1)","((1, 0), (0, 1))","(0, 1)",1,1,0.5999999999999998,2,0,"{""0"": 6}","{""0"": {""1"": 1, ""0"": 1, ""2"": 1}, ""1"": {""2"": 1, ""0"": 1, ""1"": 1}, ""2"": {""0"": 6}, ""3"": {""0"": 1, ""2"": 1, ""1"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(2, 3, 0, 1)","((1, 0), (0, 1))","(0, 1)",1,2,0.5999999999999998,2,1,"{""1"": 6}","{""0"": {""2"": 1, ""1"": 1, ""0"": 1}, ""1"": {""0"": 1, ""1"": 1, ""2"": 1}, ""2"": {""1"": 6}, ""3"": {""1"": 1, ""0"": 1, ""2"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(2, 3, 0, 1)","((1, 0), (0, 1))","(0, 1)",2,0,0.5999999999999998,2,1,"{""1"": 6}","{""0"": {""0"": 1, ""1"": 1, ""2"": 1}, ""1"": {""2"": 1, ""1"": 1, ""0"": 1}, ""2"": {""1"": 6}, ""3"": {""1"": 1, ""2"": 1, ""0"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(2, 3, 0, 1)","((1, 0), (0, 1))","(0, 1)",2,1,0.5999999999999998,2,2,"{""2"": 6}","{""0"": {""1"": 1, ""2"": 1, ""0"": 1}, ""1"": {""0"": 1, ""2"": 1, ""1"": 1}, ""2"": {""2"": 6}, ""3"": {""2"": 1, ""0"": 1, ""1"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(2, 3, 0, 1)","((1, 0), (0, 1))","(0, 1)",2,2,0.5999999999999998,2,0,"{""0"": 6}","{""0"": {""2"": 1, ""0"": 1, ""1"": 1}, ""1"": {""1"": 1, ""0"": 1, ""2"": 1}, ""2"": {""0"": 6}, ""3"": {""0"": 1, ""1"": 1, ""2"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.9999999999999998, ""2"": 0.0, ""3"": 0.9999999999999998}"
"(1, 0, 3, 2)","((1, 0), (0, 1))","(1, 0)",1,0,0.5999999999999998,1,2,"{""2"": 6}","{""0"": {""2"": 1, ""1"": 1, ""0"": 1}, ""1"": {""2"": 6}, ""2"": {""1"": 1, ""2"": 1, ""0"": 1}, ""3"": {""0"": 1, ""2"": 1, ""1"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
"(1, 0, 3, 2)","((1, 0), (0, 1))","(1, 0)",1,1,0.5999999999999998,1,0,"{""0"": 6}","{""0"": {""0"": 1, ""2"": 1, ""1"": 1}, ""1"": {""0"": 6}, ""2"": {""2"": 1, ""0"": 1, ""1"": 1}, ""3"": {""1"": 1, ""0"": 1, ""2"": 1}}","{""0"": 0.9999999999999998, ""1"": 0.0, ""2"": 0.9999999999999998, ""3"": 0.9999999999999998}"
