orbit_id,orbit_size,quartet_str,orbit_members
22,3,sec0_m1 sec1_m2 sec2_m2 sec3_m0,sec0_m0 sec1_m2 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m0
22,3,sec0_m2 sec1_m0 sec2_m1 sec3_m0,sec0_m0 sec1_m2 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m0
23,3,sec0_m0 sec1_m2 sec2_m1 sec3_m2,sec0_m0 sec1_m2 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m0
23,3,sec0_m1 sec1_m2 sec2_m0 sec3_m0,sec0_m0 sec1_m2 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m0
23,3,sec0_m2 sec1_m1 sec2_m1 sec3_m0,sec0_m0 sec1_m2 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m0
24,3,sec0_m0 sec1_m2 sec2_m2 sec3_m0,sec0_m0 sec1_m2 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m1
24,3,sec0_m1 sec1_m0 sec2_m1 sec3_m0,sec0_m0 sec1_m2 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m1
24,3,sec0_m2 sec1_m2 sec2_m1 sec3_m1,sec0_m0 sec1_m2 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m1
25,3,sec0_m0 sec1_m2 sec2_m2 sec3_m1,sec0_m0 sec1_m2 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m1
25,3,sec0_m1 sec1_m0 sec2_m2 sec3_m0,sec0_m0 sec1_m2 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m1
25,3,sec0_m2 sec1_m0 sec2_m1 sec3_m1,sec0_m0 sec1_m2 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m1
26,3,sec0_m0 sec1_m2 sec2_m2 sec3_m2,sec0_m0 sec1_m2 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m1
26,3,sec0_m1 sec1_m0 sec2_m0 sec3_m0,sec0_m0 sec1_m2 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m1
26,3,sec0_m2 sec1_m1 sec2_m1 sec3_m1,sec0_m0 sec1_m2 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m1
