line_id,orbit_id,orbit_size,line_type,type,proj_quartet_str,missing_sector,mean_abs_delta,rank_mean_abs_delta,var_q_class,r2,coef_delta_coh,coef_flux_coh,coef_flux_def_mass
3,2,6,other,rainbow,sec0_m0 sec1_m2 sec2_m1 sec3_m1,1,0.012527663677193357,6,low(1/9),0.8940551802415618,5.365616807243027,-2.7237280738803293,-0.2723606266643202
15,2,6,rank_spread,rainbow,sec0_m0 sec1_m1 sec2_m0 sec3_m0,1,0.010631870193550426,10,low(1/9),0.12022833172933955,-10.163349014210212,1.052342340798492,1.2591354457151878
16,2,6,other,rainbow,sec0_m1 sec1_m1 sec2_m0 sec3_m2,2,0.0032006867810644326,27,low(1/9),0.9814233209631058,4.486542978501969,-0.7089154304641594,-0.7155745435567648
18,2,6,other,rainbow,sec0_m0 sec1_m0 sec2_m2 sec3_m2,1,0.011371733133028266,7,mid(1/3),0.8429727502670925,-7.265503703729224,5.818157518134975,0.40156974512715027
23,2,6,rank_spread,rainbow,sec0_m1 sec1_m0 sec2_m2 sec3_m1,2,0.004551378777072315,19,low(1/9),0.9609765644320012,3.098273060669108,-4.470943227055001,0.19482390007885148
32,2,6,other,rainbow,sec0_m1 sec1_m2 sec2_m1 sec3_m0,2,0.010237910224970097,14,mid(1/3),0.5505740923794296,12.214948453537417,-7.688868921122027,-1.0895791097899228
6,3,6,rank_spread,rainbow,sec0_m2 sec1_m1 sec2_m1 sec3_m0,0,0.0028638058953718904,29,low(1/9),0.9846064390296863,2.361794744097834,0.558939385588274,-0.5507272837375236
8,3,6,other,rainbow,sec0_m2 sec1_m0 sec2_m0 sec3_m2,0,0.02892248524455424,1,low(1/9),0.4126589698751102,7.919272834599727,-3.791157831303502,-0.39961414475514256
17,3,6,rank_spread,rainbow,sec0_m2 sec1_m0 sec2_m1 sec3_m1,3,0.0012889051225446393,36,high(1),0.9986264238031008,0.08239798803713004,-0.08239875178631337,-0.009955415701299243
20,3,6,other,rainbow,sec0_m2 sec1_m1 sec2_m2 sec3_m2,3,0.00034271195484016217,40,mid(1/3),0.5575926293518451,1.5906977409095797,-0.8747698175764621,-0.12777004097363936
28,3,6,other,rainbow,sec0_m2 sec1_m2 sec2_m0 sec3_m0,3,0.00044766330387043,38,mid(1/3),0.5157386966054909,3.6403018813784014,-2.4213725955184473,-0.22162967656348856
39,3,6,other,rainbow,sec0_m2 sec1_m2 sec2_m2 sec3_m1,0,0.01945270245354121,3,low(1/9),0.5809262756859102,8.340107940303634,-4.784802092023403,-0.4382159699224015
14,7,3,other,rainbow,sec0_m2 sec1_m1 sec2_m0 sec3_m1,0,0.010940248884698443,9,low(1/9),0.9887261937932268,0.9822065784070035,0.30486698892976216,-0.31624512341628513
22,7,3,other,rainbow,sec0_m2 sec1_m0 sec2_m2 sec3_m0,0,0.0033015429176538303,26,low(1/9),0.09795825569568672,-9.375827381137999,5.5403164136750265,0.6959481425519692
30,7,3,rank_spread,rainbow,sec0_m2 sec1_m2 sec2_m1 sec3_m2,0,0.003458812317412455,24,low(1/9),0.9836541684312106,-3.6730387894800165,3.06237615365064,0.11365449685358665
