u,v,delta_sum_mod8,abs_delta,sigma_u,sigma_v,sigma_product,flip_support_4set,edge_elem_2T,edge_elem_order,edge_center_class,projective_trivial,img_sec0_m0,img_sec1_m0,img_sec2_m0,img_sec3_m0
26,44,0,0,1,1,1,3 6 7 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
27,45,4,4,1,1,1,6 7 9 10,e*,2,e*,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
28,42,0,0,-1,-1,1,1 4 5 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
29,52,0,0,-1,-1,1,4 5 6 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
30,41,0,0,1,1,1,1 7 8 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
30,55,0,0,1,1,1,1 4 5 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
30,56,0,0,1,1,1,2 3 7 8,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
31,43,6,2,1,-1,-1,3 6 7 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
31,48,0,0,1,1,1,0 4 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
32,56,0,0,1,1,1,0 1 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
33,35,0,0,1,1,1,4 5 6 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
33,51,6,2,1,-1,-1,0 1 3 8,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
34,38,0,0,1,1,1,1 4 5 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
34,50,6,2,1,-1,-1,0 1 4 8,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
34,54,0,0,1,1,1,1 3 4 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
36,43,2,2,1,-1,-1,4 6 7 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
36,46,0,0,1,1,1,4 5 6 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
37,51,0,0,-1,-1,1,2 3 7 8,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
38,56,0,0,1,1,1,0 3 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
39,53,2,2,1,-1,-1,0 1 4 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
40,41,2,2,-1,1,-1,1 2 3 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
40,49,2,2,-1,1,-1,6 7 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
40,56,2,2,-1,1,-1,1 2 7 10,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
41,47,0,0,1,1,1,2 3 7 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
41,58,2,2,1,-1,-1,6 7 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
42,44,6,2,-1,1,-1,1 2 3 9,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
42,58,0,0,-1,-1,1,0 1 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
43,57,0,0,-1,-1,1,0 4 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
44,45,0,0,1,1,1,3 9 10 11,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
44,49,0,0,1,1,1,0 3 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
45,57,6,2,1,-1,-1,4 5 9 10,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
47,56,0,0,1,1,1,1 3 8 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
48,54,0,0,1,1,1,1 2 3 7,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
48,57,6,2,1,-1,-1,3 6 7 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
49,58,2,2,1,-1,-1,1 2 3 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
52,53,0,0,-1,-1,1,1 4 5 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
